,timestamp,open,high,low,close,volume,datetime,date
490,1699337702000,32551.76953125,32591.109375,32250.9296875,32271.8203125,0,2023-11-07 06:15:02,2023-11-07
489,1699228800000,32450.8203125,32766.5390625,32395.5,32708.48046875,139400000,2023-11-06 00:00:00,2023-11-06
488,1698883200000,31987.01953125,32087.130859375,31878.359375,31949.890625,121100000,2023-11-02 00:00:00,2023-11-02
487,1698796800000,31311.220703125,31601.650390625,31301.509765625,31601.650390625,130100000,2023-11-01 00:00:00,2023-11-01
486,1698710400000,30694.9609375,30973.66015625,30552.650390625,30858.849609375,134300000,2023-10-31 00:00:00,2023-10-31
485,1698624000000,30663.48046875,30762.5,30538.2890625,30696.9609375,187000000,2023-10-30 00:00:00,2023-10-30
484,1698364800000,30713.7890625,31081.48046875,30687.330078125,30991.689453125,89100000,2023-10-27 00:00:00,2023-10-27
483,1698278400000,30902.919921875,30943.330078125,30567.609375,30601.779296875,85600000,2023-10-26 00:00:00,2023-10-26
482,1698192000000,31302.509765625,31466.919921875,31195.580078125,31269.919921875,78700000,2023-10-25 00:00:00,2023-10-25
481,1698105600000,31157.009765625,31210.259765625,30551.669921875,31062.349609375,97900000,2023-10-24 00:00:00,2023-10-24
480,1698019200000,31151.98046875,31177.41015625,30974.259765625,30999.55078125,73500000,2023-10-23 00:00:00,2023-10-23
479,1697760000000,31164.890625,31428.970703125,31093.900390625,31259.359375,84500000,2023-10-20 00:00:00,2023-10-20
478,1697673600000,31579.5390625,31669.419921875,31399.169921875,31430.619140625,80700000,2023-10-19 00:00:00,2023-10-19
477,1697587200000,32033.810546875,32101.470703125,31866.94921875,32042.25,83200000,2023-10-18 00:00:00,2023-10-18
476,1697500800000,32063.7890625,32260.76953125,31901.390625,32040.2890625,75600000,2023-10-17 00:00:00,2023-10-17
475,1697414400000,31983.0390625,31999.7890625,31564.310546875,31659.029296875,84500000,2023-10-16 00:00:00,2023-10-16
474,1697155200000,32328.390625,32533.080078125,32249.029296875,32315.990234375,91500000,2023-10-13 00:00:00,2023-10-13
473,1697068800000,32120.939453125,32494.66015625,32120.939453125,32494.66015625,100600000,2023-10-12 00:00:00,2023-10-12
472,1696982400000,31847.099609375,32037.0703125,31804.08984375,31936.509765625,89500000,2023-10-11 00:00:00,2023-10-11
471,1696896000000,31314.669921875,31818.259765625,31314.669921875,31746.529296875,101000000,2023-10-10 00:00:00,2023-10-10
470,1696550400000,31003.94921875,31160.44921875,30928.16015625,30994.669921875,94600000,2023-10-06 00:00:00,2023-10-06
469,1696464000000,30733.650390625,31083.900390625,30565.3203125,31075.359375,114200000,2023-10-05 00:00:00,2023-10-05
468,1696377600000,30765.029296875,30830.849609375,30487.669921875,30526.880859375,137200000,2023-10-04 00:00:00,2023-10-04
467,1696291200000,31607.970703125,31607.970703125,31157.400390625,31237.939453125,109600000,2023-10-03 00:00:00,2023-10-03
466,1696204800000,32101.970703125,32401.580078125,31759.880859375,31759.880859375,103100000,2023-10-02 00:00:00,2023-10-02
465,1695945600000,32018.640625,32027.4609375,31717.740234375,31857.619140625,132000000,2023-09-29 00:00:00,2023-09-29
464,1695859200000,32119.369140625,32164.44921875,31674.419921875,31872.51953125,115900000,2023-09-28 00:00:00,2023-09-28
463,1695772800000,32023.369140625,32371.900390625,31960.3203125,32371.900390625,105600000,2023-09-27 00:00:00,2023-09-27
462,1695686400000,32640.05078125,32643.41015625,32315.05078125,32315.05078125,86500000,2023-09-26 00:00:00,2023-09-26
461,1695600000000,32517.259765625,32722.220703125,32388.279296875,32678.619140625,82100000,2023-09-25 00:00:00,2023-09-25
460,1695340800000,32189.3203125,32535.669921875,32154.529296875,32402.41015625,109800000,2023-09-22 00:00:00,2023-09-22
459,1695254400000,32865.55859375,32939.890625,32550.650390625,32571.029296875,107900000,2023-09-21 00:00:00,2023-09-21
458,1695168000000,33261.3515625,33267.140625,32988.6484375,33023.78125,113500000,2023-09-20 00:00:00,2023-09-20
457,1695081600000,33296.23046875,33337.23046875,33128.859375,33242.58984375,117200000,2023-09-19 00:00:00,2023-09-19
456,1694736000000,33428.44140625,33634.30859375,33391.4609375,33533.08984375,166600000,2023-09-15 00:00:00,2023-09-15
455,1694649600000,32925.5390625,33244.44921875,32851.23828125,33168.1015625,112100000,2023-09-14 00:00:00,2023-09-14
454,1694563200000,32742.2890625,32872.44140625,32616.650390625,32706.51953125,98100000,2023-09-13 00:00:00,2023-09-13
453,1694476800000,32629.16015625,32799.69140625,32486.48046875,32776.37109375,94000000,2023-09-12 00:00:00,2023-09-12
452,1694390400000,32690.5390625,32746.140625,32391.689453125,32467.759765625,84200000,2023-09-11 00:00:00,2023-09-11
451,1694131200000,32916.25,32920.4296875,32512.80078125,32606.83984375,114100000,2023-09-08 00:00:00,2023-09-08
450,1694044800000,33118.55078125,33322.44921875,32986.3515625,32991.078125,100200000,2023-09-07 00:00:00,2023-09-07
449,1693958400000,33115.05859375,33282.1484375,33088.21875,33241.01953125,94200000,2023-09-06 00:00:00,2023-09-06
448,1693872000000,32941.41015625,33036.76171875,32784.3203125,33036.76171875,91300000,2023-09-05 00:00:00,2023-09-05
447,1693785600000,32797.3203125,32939.1796875,32714.939453125,32939.1796875,89600000,2023-09-04 00:00:00,2023-09-04
446,1693526400000,32521.150390625,32845.4609375,32499.439453125,32710.619140625,88400000,2023-09-01 00:00:00,2023-09-01
445,1693440000000,32361.01953125,32692.759765625,32359.150390625,32619.33984375,114600000,2023-08-31 00:00:00,2023-08-31
444,1693353600000,32432.94921875,32557.44921875,32300.560546875,32333.4609375,89100000,2023-08-30 00:00:00,2023-08-30
443,1693267200000,32280.5703125,32389.119140625,32186.5703125,32226.970703125,77500000,2023-08-29 00:00:00,2023-08-29
442,1693180800000,31915.6796875,32205.48046875,31881.9296875,32169.990234375,69900000,2023-08-28 00:00:00,2023-08-28
441,1692921600000,31840.91015625,31885.529296875,31572.060546875,31624.279296875,65700000,2023-08-25 00:00:00,2023-08-25
440,1692835200000,32130.51953125,32297.91015625,32063.140625,32287.2109375,73400000,2023-08-24 00:00:00,2023-08-24
439,1692748800000,31717.91015625,32039.599609375,31717.91015625,32010.259765625,65100000,2023-08-23 00:00:00,2023-08-23
438,1692662400000,31792.599609375,31906.099609375,31693.759765625,31856.7109375,70200000,2023-08-22 00:00:00,2023-08-22
437,1692576000000,31552.849609375,31758.69921875,31409.859375,31565.640625,69500000,2023-08-21 00:00:00,2023-08-21
436,1692316800000,31321.259765625,31644.890625,31275.25,31450.759765625,74800000,2023-08-18 00:00:00,2023-08-18
435,1692230400000,31621.98046875,31704.080078125,31309.6796875,31626.0,87700000,2023-08-17 00:00:00,2023-08-17
434,1692144000000,31965.580078125,31997.279296875,31766.8203125,31766.8203125,84800000,2023-08-16 00:00:00,2023-08-16
433,1692057600000,32372.529296875,32403.9296875,32217.51953125,32238.890625,75100000,2023-08-15 00:00:00,2023-08-15
432,1691971200000,32456.720703125,32613.990234375,32031.5390625,32059.91015625,95600000,2023-08-14 00:00:00,2023-08-14
431,1691625600000,32015.9609375,32504.849609375,32015.9609375,32473.650390625,108000000,2023-08-10 00:00:00,2023-08-10
430,1691539200000,32346.3203125,32407.849609375,32175.640625,32204.330078125,104500000,2023-08-09 00:00:00,2023-08-09
429,1691452800000,32430.609375,32539.880859375,32238.58984375,32377.2890625,91800000,2023-08-08 00:00:00,2023-08-08
428,1691366400000,31921.279296875,32306.869140625,31830.23046875,32254.560546875,94100000,2023-08-07 00:00:00,2023-08-07
427,1691107200000,32019.060546875,32294.69921875,31934.349609375,32192.75,106600000,2023-08-04 00:00:00,2023-08-04
426,1691020800000,32375.849609375,32467.060546875,32142.25,32159.279296875,120300000,2023-08-03 00:00:00,2023-08-03
425,1690934400000,33123.12109375,33158.578125,32628.2890625,32707.689453125,124200000,2023-08-02 00:00:00,2023-08-02
424,1690848000000,33292.30859375,33488.76953125,33203.87890625,33476.578125,110800000,2023-08-01 00:00:00,2023-08-01
423,1690761600000,33128.828125,33402.078125,33025.9296875,33172.21875,134300000,2023-07-31 00:00:00,2023-07-31
422,1690502400000,32444.419921875,32846.96875,32037.55078125,32759.23046875,170500000,2023-07-28 00:00:00,2023-07-28
421,1690416000000,32523.689453125,32938.58984375,32503.689453125,32891.16015625,90900000,2023-07-27 00:00:00,2023-07-27
420,1690329600000,32704.9609375,32724.25,32488.51953125,32668.33984375,85200000,2023-07-26 00:00:00,2023-07-26
419,1690243200000,32705.390625,32715.560546875,32509.939453125,32682.509765625,101000000,2023-07-25 00:00:00,2023-07-25
418,1690156800000,32648.140625,32793.76953125,32554.4609375,32700.939453125,83500000,2023-07-24 00:00:00,2023-07-24
417,1689897600000,32336.859375,32462.439453125,32080.94921875,32304.25,79400000,2023-07-21 00:00:00,2023-07-21
416,1689811200000,32803.3515625,32861.01953125,32462.859375,32490.51953125,75600000,2023-07-20 00:00:00,2023-07-20
415,1689724800000,32812.359375,32896.03125,32671.029296875,32896.03125,81900000,2023-07-19 00:00:00,2023-07-19
414,1689638400000,32457.1796875,32714.58984375,32338.30078125,32493.890625,81100000,2023-07-18 00:00:00,2023-07-18
413,1689292800000,32587.900390625,32780.62890625,32225.369140625,32391.259765625,90300000,2023-07-14 00:00:00,2023-07-14
412,1689206400000,32106.05078125,32484.400390625,31952.98046875,32419.330078125,77800000,2023-07-13 00:00:00,2023-07-13
411,1689120000000,32280.05078125,32312.029296875,31791.7109375,31943.9296875,88400000,2023-07-12 00:00:00,2023-07-12
410,1689033600000,32434.669921875,32468.69921875,32084.419921875,32203.5703125,87200000,2023-07-11 00:00:00,2023-07-11
409,1688947200000,32393.4609375,32558.98046875,32065.630859375,32189.73046875,101200000,2023-07-10 00:00:00,2023-07-10
408,1688688000000,32450.640625,32730.25,32327.900390625,32388.419921875,105100000,2023-07-07 00:00:00,2023-07-07
407,1688601600000,33058.3984375,33079.44921875,32637.720703125,32773.01953125,100600000,2023-07-06 00:00:00,2023-07-06
406,1688515200000,33165.05859375,33389.21875,33041.140625,33338.69921875,95100000,2023-07-05 00:00:00,2023-07-05
405,1688428800000,33512.26171875,33576.44921875,33338.78125,33422.51953125,99400000,2023-07-04 00:00:00,2023-07-04
404,1688342400000,33517.6015625,33762.80859375,33510.55078125,33753.328125,95400000,2023-07-03 00:00:00,2023-07-03
403,1688083200000,33068.359375,33232.890625,32918.76953125,33189.0390625,111300000,2023-06-30 00:00:00,2023-06-30
402,1687996800000,33306.83984375,33527.98046875,33185.19921875,33234.140625,117900000,2023-06-29 00:00:00,2023-06-29
401,1687910400000,32807.83984375,33193.98828125,32642.869140625,33193.98828125,91100000,2023-06-28 00:00:00,2023-06-28
400,1687824000000,32629.9609375,32689.099609375,32306.990234375,32538.330078125,79600000,2023-06-27 00:00:00,2023-06-27
399,1687737600000,32647.080078125,32884.73046875,32392.720703125,32698.810546875,74100000,2023-06-26 00:00:00,2023-06-26
398,1687478400000,33458.3515625,33533.46875,32575.560546875,32781.5390625,103600000,2023-06-23 00:00:00,2023-06-23
397,1687392000000,33438.01171875,33641.4609375,33232.19140625,33264.87890625,94700000,2023-06-22 00:00:00,2023-06-22
396,1687305600000,33200.62890625,33657.87109375,33154.6796875,33575.140625,82000000,2023-06-21 00:00:00,2023-06-21
395,1687219200000,33269.5703125,33474.73828125,33089.01953125,33388.91015625,82400000,2023-06-20 00:00:00,2023-06-20
394,1687132800000,33768.69140625,33772.890625,33231.55859375,33370.421875,82900000,2023-06-19 00:00:00,2023-06-19
393,1686873600000,33399.1484375,33772.76171875,33186.9296875,33706.078125,132000000,2023-06-16 00:00:00,2023-06-16
392,1686787200000,33493.69140625,33767.12890625,33386.01171875,33485.48828125,105800000,2023-06-15 00:00:00,2023-06-15
391,1686700800000,33331.46875,33665.51953125,33203.94921875,33502.421875,111600000,2023-06-14 00:00:00,2023-06-14
390,1686614400000,32668.94921875,33127.359375,32638.2109375,33018.6484375,89500000,2023-06-13 00:00:00,2023-06-13
389,1686528000000,32412.119140625,32517.6796875,32280.5390625,32434.0,68700000,2023-06-12 00:00:00,2023-06-12
388,1686268800000,31927.380859375,32304.0390625,31898.75,32265.169921875,101500000,2023-06-09 00:00:00,2023-06-09
387,1686182400000,31877.7890625,32035.94921875,31420.44921875,31641.26953125,86000000,2023-06-08 00:00:00,2023-06-08
386,1686096000000,32618.779296875,32708.529296875,31913.740234375,31913.740234375,111900000,2023-06-07 00:00:00,2023-06-07
385,1686009600000,31988.369140625,32534.470703125,31933.869140625,32506.779296875,82500000,2023-06-06 00:00:00,2023-06-06
384,1685923200000,31864.119140625,32217.4296875,31798.720703125,32217.4296875,98800000,2023-06-05 00:00:00,2023-06-05
383,1685664000000,31300.720703125,31555.5390625,31257.009765625,31524.220703125,90700000,2023-06-02 00:00:00,2023-06-02
382,1685577600000,30886.009765625,31185.05078125,30853.439453125,31148.009765625,95100000,2023-06-01 00:00:00,2023-06-01
381,1685491200000,31057.08984375,31142.779296875,30785.98046875,30887.880859375,184600000,2023-05-31 00:00:00,2023-05-31
380,1685404800000,31196.240234375,31374.830078125,31064.189453125,31328.16015625,71800000,2023-05-30 00:00:00,2023-05-30
379,1685318400000,31388.009765625,31560.4296875,31164.0,31233.5390625,78300000,2023-05-29 00:00:00,2023-05-29
378,1685059200000,30909.609375,31101.599609375,30864.490234375,30916.310546875,78300000,2023-05-26 00:00:00,2023-05-26
377,1684972800000,30599.26953125,30889.98046875,30558.140625,30801.130859375,84000000,2023-05-25 00:00:00,2023-05-25
376,1684886400000,30728.689453125,30856.919921875,30566.830078125,30682.6796875,81700000,2023-05-24 00:00:00,2023-05-24
375,1684800000000,31245.720703125,31352.529296875,30828.73046875,30957.76953125,92200000,2023-05-23 00:00:00,2023-05-23
374,1684713600000,30735.7109375,31086.8203125,30689.26953125,31086.8203125,75400000,2023-05-22 00:00:00,2023-05-22
373,1684454400000,30847.359375,30924.5703125,30679.16015625,30808.349609375,80500000,2023-05-19 00:00:00,2023-05-19
372,1684368000000,30432.5390625,30667.130859375,30381.900390625,30573.9296875,90500000,2023-05-18 00:00:00,2023-05-18
371,1684281600000,29912.439453125,30115.3203125,29912.439453125,30093.58984375,93100000,2023-05-17 00:00:00,2023-05-17
370,1684195200000,29838.009765625,29916.560546875,29779.0703125,29842.990234375,107400000,2023-05-16 00:00:00,2023-05-16
369,1684108800000,29547.0390625,29629.470703125,29475.970703125,29626.33984375,88600000,2023-05-15 00:00:00,2023-05-15
368,1683849600000,29199.30078125,29426.060546875,29141.51953125,29388.30078125,106100000,2023-05-12 00:00:00,2023-05-12
367,1683763200000,29110.7890625,29165.58984375,29028.7109375,29126.720703125,82200000,2023-05-11 00:00:00,2023-05-11
366,1683676800000,29189.41015625,29195.16015625,29070.109375,29122.1796875,87300000,2023-05-10 00:00:00,2023-05-10
365,1683590400000,29020.630859375,29262.359375,29020.630859375,29242.8203125,86400000,2023-05-09 00:00:00,2023-05-09
364,1683504000000,29095.4609375,29144.119140625,28931.810546875,28949.880859375,74100000,2023-05-08 00:00:00,2023-05-08
363,1682985600000,29278.80078125,29278.80078125,29083.130859375,29157.94921875,63900000,2023-05-02 00:00:00,2023-05-02
362,1682899200000,29058.05078125,29145.890625,29016.830078125,29123.1796875,73400000,2023-05-01 00:00:00,2023-05-01
361,1682640000000,28705.91015625,28879.240234375,28499.509765625,28856.439453125,104000000,2023-04-28 00:00:00,2023-04-28
360,1682553600000,28340.58984375,28459.73046875,28241.669921875,28457.6796875,73600000,2023-04-27 00:00:00,2023-04-27
359,1682467200000,28478.51953125,28551.609375,28319.76953125,28416.470703125,68700000,2023-04-26 00:00:00,2023-04-26
358,1682380800000,28697.73046875,28806.689453125,28609.76953125,28620.0703125,59300000,2023-04-25 00:00:00,2023-04-25
357,1682294400000,28631.779296875,28680.650390625,28567.240234375,28593.51953125,50000000,2023-04-24 00:00:00,2023-04-24
356,1682035200000,28590.55078125,28778.369140625,28527.80078125,28564.369140625,61400000,2023-04-21 00:00:00,2023-04-21
355,1681948800000,28472.0,28694.25,28442.44921875,28657.5703125,56700000,2023-04-20 00:00:00,2023-04-20
354,1681862400000,28619.83984375,28677.220703125,28531.5390625,28606.759765625,58000000,2023-04-19 00:00:00,2023-04-19
353,1681776000000,28567.5390625,28698.220703125,28520.759765625,28658.830078125,62300000,2023-04-18 00:00:00,2023-04-18
352,1681689600000,28537.990234375,28599.75,28414.98046875,28514.779296875,58000000,2023-04-17 00:00:00,2023-04-17
351,1681430400000,28321.5390625,28515.509765625,28282.8203125,28493.470703125,72900000,2023-04-14 00:00:00,2023-04-14
350,1681344000000,27952.580078125,28163.869140625,27952.009765625,28156.970703125,59900000,2023-04-13 00:00:00,2023-04-13
349,1681257600000,27985.9296875,28121.4609375,27983.970703125,28082.69921875,62700000,2023-04-12 00:00:00,2023-04-12
348,1681171200000,27895.900390625,28068.390625,27854.8203125,27923.369140625,64800000,2023-04-11 00:00:00,2023-04-11
347,1681084800000,27658.51953125,27737.490234375,27597.1796875,27633.66015625,48000000,2023-04-10 00:00:00,2023-04-10
346,1680825600000,27554.369140625,27591.150390625,27456.25,27518.310546875,49100000,2023-04-07 00:00:00,2023-04-07
345,1680739200000,27589.140625,27609.859375,27427.66015625,27472.630859375,73200000,2023-04-06 00:00:00,2023-04-06
344,1680652800000,28111.0390625,28133.5703125,27788.76953125,27813.259765625,74300000,2023-04-05 00:00:00,2023-04-05
343,1680566400000,28213.9296875,28287.419921875,28139.119140625,28287.419921875,73300000,2023-04-04 00:00:00,2023-04-04
342,1680480000000,28203.349609375,28258.91015625,28120.7109375,28188.150390625,75000000,2023-04-03 00:00:00,2023-04-03
341,1680220800000,28009.220703125,28124.619140625,27986.619140625,28041.48046875,91100000,2023-03-31 00:00:00,2023-03-31
340,1680134400000,27827.890625,27876.380859375,27630.55078125,27782.9296875,82000000,2023-03-30 00:00:00,2023-03-30
339,1680048000000,27549.369140625,27897.720703125,27505.48046875,27883.779296875,83800000,2023-03-29 00:00:00,2023-03-29
338,1679961600000,27573.8203125,27603.44921875,27432.759765625,27518.25,66400000,2023-03-28 00:00:00,2023-03-28
337,1679875200000,27482.390625,27543.48046875,27359.720703125,27476.869140625,57400000,2023-03-27 00:00:00,2023-03-27
336,1679616000000,27368.619140625,27397.2890625,27257.439453125,27385.25,59500000,2023-03-24 00:00:00,2023-03-24
335,1679529600000,27232.970703125,27461.970703125,27175.630859375,27419.609375,64100000,2023-03-23 00:00:00,2023-03-23
334,1679443200000,27298.150390625,27520.970703125,27267.259765625,27466.609375,78100000,2023-03-22 00:00:00,2023-03-22
333,1679270400000,27253.73046875,27367.1796875,26945.669921875,26945.669921875,79200000,2023-03-20 00:00:00,2023-03-20
332,1679011200000,27232.23046875,27356.150390625,27071.7109375,27333.7890625,101500000,2023-03-17 00:00:00,2023-03-17
331,1678924800000,26796.669921875,27057.5390625,26632.919921875,27010.609375,107100000,2023-03-16 00:00:00,2023-03-16
330,1678838400000,27421.66015625,27424.939453125,27105.990234375,27229.48046875,86600000,2023-03-15 00:00:00,2023-03-15
329,1678752000000,27455.94921875,27455.94921875,27104.75,27222.0390625,125700000,2023-03-14 00:00:00,2023-03-14
328,1678665600000,27886.2109375,27906.970703125,27631.529296875,27832.9609375,96100000,2023-03-13 00:00:00,2023-03-13
